,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,10.1,19.8,24.1,34.8,40.0,40.3,40.1,36.3,29.9,19.9,7.3,0.0,0.0,0.0,0.0,0.0,12.8,10.8,26.36,20.0,16.0,12.0,8.0,6.0,0.2,4.1,2.9,3.7,2.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,19.7,28.2,34.2,39.4,39.2,36.2,33.6,27.4,18.0,7.1,0.0,0.0,0.0,0.0,0.0,12.9,11.1,26.0,15.0,16.0,16.0,15.0,12.0,6.2,4.7,5.0,4.2,4.0,4.0,4.0,4.0,4.0,4.0,60.0,60.0,60.0,80.0,63.0,10.0,20.0,5.0
210412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0,5.2,7.0,4.7,3.9,2.9,1.9,2.1,5.1,1.7,0.1,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.33,14.0,10.0,7.0,6.0,5.0,6.1,3.9,2.9,3.0,3.3,1.0,1.0,1.0,3.0,1.0,10.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0
210413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.4,2.6,6.9,21.6,20.4,18.6,15.4,28.9,30.7,19.4,6.7,0.1,0.0,0.0,0.0,0.0,13.0,6.8,17.96,16.0,13.0,7.0,4.0,2.0,5.4,2.9,1.1,1.2,1.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,7.2,21.2,31.2,37.9,42.1,43.7,42.6,37.5,30.4,20.8,8.3,0.1,0.0,0.0,0.0,0.0,13.0,11.9,27.8,18.0,16.0,10.0,9.0,8.0,3.6,2.8,2.7,3.0,3.1,3.0,3.0,1.0,1.0,3.0,20.0,10.0,0.0,10.0,20.0,0.0,0.0,0.0
210415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.0,21.2,29.9,36.0,37.4,31.7,23.0,31.9,29.8,19.9,7.9,0.0,0.0,0.0,0.0,0.0,13.1,11.2,24.84,16.0,15.0,13.0,11.0,8.0,3.5,1.7,1.5,1.1,1.1,4.0,4.0,3.0,3.0,3.0,30.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0
210418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,10.2,22.1,30.1,36.3,40.9,41.6,40.8,36.7,29.7,19.1,8.0,0.0,0.0,0.0,0.0,0.0,13.2,12.0,27.94,21.0,18.0,11.0,8.0,6.0,4.4,2.5,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,11.4,20.8,29.2,34.3,38.9,40.1,38.5,35.3,29.0,19.0,7.8,0.0,0.0,0.0,0.0,0.0,13.2,12.3,28.14,25.0,21.0,15.0,11.0,10.0,2.7,2.5,1.1,1.2,1.4,1.0,1.0,1.0,3.0,3.0,0.0,0.0,10.0,20.0,20.0,0.0,0.0,0.0
210420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,11.1,20.5,30.2,31.0,36.8,37.6,37.0,33.2,26.9,17.7,6.8,0.0,0.0,0.0,0.0,0.0,13.3,12.0,27.0,27.0,24.0,18.0,14.0,13.0,3.5,1.8,1.4,1.7,1.7,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210421,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.1,7.9,21.8,28.0,32.8,40.3,23.0,20.1,12.8,5.6,7.3,2.1,0.0,0.0,0.0,0.0,0.0,13.3,6.3,19.37,26.0,23.0,19.0,16.0,16.0,4.2,1.6,2.0,2.2,1.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,8.1,13.3,12.0,22.2,11.2,10.7,12.1,9.5,5.8,1.2,1.0,0.0,0.0,0.0,0.0,0.0,13.3,0.3,10.47,26.0,23.0,18.0,14.0,13.0,4.8,2.1,1.4,1.3,1.7,1.0,4.0,3.0,3.0,3.0,10.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0
210425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.1,19.4,27.1,32.5,35.8,37.2,36.3,12.9,25.1,4.4,1.9,0.0,0.0,0.0,0.0,0.0,13.4,8.3,22.24,23.0,20.0,15.0,12.0,10.0,3.3,2.8,2.3,2.3,2.1,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0
210426,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9,6.7,18.8,25.8,31.9,0.4,26.1,23.7,34.1,27.3,17.6,7.0,0.0,0.0,0.0,0.0,0.0,13.5,12.2,26.52,21.0,20.0,17.0,14.0,14.0,3.0,2.1,1.6,1.3,2.0,4.0,4.0,3.0,3.0,4.0,30.0,30.0,20.0,20.0,30.0,0.0,0.0,0.0
210427,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.7,4.7,15.8,14.9,25.5,17.4,18.9,14.4,19.3,9.3,7.9,2.0,0.0,0.0,0.0,0.0,0.0,13.5,1.7,15.23,24.0,21.0,17.0,14.0,12.0,0.1,2.2,1.2,1.6,1.2,3.0,3.0,3.0,4.0,4.0,20.0,20.0,20.0,30.0,30.0,0.0,0.0,0.0
210428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.3,22.2,23.3,32.3,20.5,30.5,33.0,22.2,17.2,6.7,2.3,0.0,0.0,0.0,0.0,0.0,13.5,7.6,21.43,23.0,22.0,17.0,14.0,13.0,3.4,4.2,3.0,5.1,8.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,10.0,60.0,67.0,0.0,1.0,5.0
210502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,3.2,22.5,48.0,43.9,44.0,41.9,39.5,33.4,23.4,9.1,0.6,0.0,0.0,0.0,0.0,13.6,7.0,20.18,22.0,20.0,16.0,14.0,12.0,3.2,1.8,2.1,1.9,2.1,1.0,3.0,3.0,3.0,4.0,0.0,10.0,20.0,10.0,30.0,0.0,0.0,0.0
210503,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.9,12.0,21.8,28.9,34.5,38.2,39.5,37.9,34.6,27.4,13.0,3.9,0.0,0.0,0.0,0.0,0.0,13.7,10.5,28.3,20.0,18.0,18.0,16.0,13.0,5.1,6.6,5.4,3.8,3.5,4.0,4.0,4.0,4.0,4.0,60.0,60.0,67.0,60.0,30.0,5.0,20.0,0.0
210505,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.7,12.4,21.7,29.0,35.3,39.2,40.5,38.9,35.6,29.5,18.3,3.3,1.6,0.0,0.0,0.0,0.0,13.7,12.2,29.19,23.0,21.0,16.0,13.0,12.0,3.5,2.8,2.2,2.4,2.5,3.0,3.0,3.0,3.0,1.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
