,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210804,1081.7,1024.3,1008.0,979.7,982.2,955.3,948.1,1016.4,1226.4,1343.3,1369.3,1405.6,1400.3,1449.9,1465.5,1444.1,1470.7,1427.8000000000002,1271.0,1205.3,1203.8,1157.8,1127.3,1070.1,13.8,23.1,33.0,31.0,28.0,26.0,25.0,1.0,1.8,1.1,1.1,1.4,4.0,3.0,4.0,3.0,3.0,60.0,60.0,30.0,20.0,20.0,11.0,0.0,0.0
210805,1045.0,1030.3,1056.6,995.8,984.8,938.5,964.9,1066.7,1200.6,1324.9,1387.6,1393.2,1399.6,1408.8000000000002,1445.2,1452.5,1476.8,1415.3,1313.4,1202.4,1218.7,1161.1,1145.2,1077.5,13.8,18.02,35.0,32.0,28.0,26.0,25.0,1.3,2.7,1.6,1.8,1.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210806,1068.8,1033.4,1009.4,1031.3,983.3,972.8,968.8,1094.8,1204.3,1366.1,1405.0,1444.1,1439.7,1471.8,1466.4,1501.0,1492.6,1474.6,1136.4,1100.6,1060.6,1067.0,1036.2,991.8,13.8,24.15,33.0,30.0,27.0,26.0,25.0,3.6,2.3,1.6,1.3,0.9,4.0,3.0,3.0,3.0,1.0,60.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
210809,997.3,1001.1,962.3,944.3,918.3,931.5,955.8,976.9,1161.0,1282.1,1328.1,1331.6,1330.0,1365.1,1374.4,1399.8,1383.4,1355.1999999999998,1282.1,1148.9,1137.2,1123.4,1077.0,1066.9,13.7,25.99,31.0,29.0,26.0,24.0,22.0,2.3,2.6,0.9,0.8,0.8,3.0,3.0,3.0,3.0,1.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
210810,1038.5,1031.0,992.7,982.5,980.1,954.0,984.4,1005.0,1147.7,1290.4,1342.0,1357.4,1339.4,1398.2,1493.3000000000002,1453.4,1425.0,1341.7,1266.8,1248.6,1180.9,1113.5,1104.5,1073.4,13.7,20.12,32.0,30.0,26.0,24.0,23.0,2.6,2.8,0.9,1.0,1.0,3.0,3.0,1.0,3.0,1.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0
210811,1039.0,1003.8,973.2,937.4,931.2,915.8,936.3,960.1,1126.8,1281.4,1331.1,1306.4,1344.3000000000002,1363.2,1363.2,1373.9,1350.1,1316.3000000000002,1218.1999999999998,1166.4,1132.1,1106.1,1093.1,1071.2,13.6,17.82,32.0,28.0,26.0,25.0,24.0,1.1,1.3,1.1,0.9,1.1,4.0,4.0,4.0,4.0,3.0,30.0,30.0,30.0,30.0,20.0,0.0,0.0,0.0
210812,1039.3,1026.8,985.5,942.5,958.4,921.4,918.9,959.6,1115.9,1239.5,1295.4,1316.9,1289.4,1313.1,1374.7,1330.3,1317.6,1290.5,1195.0,1148.8,1115.3,1113.8,1092.9,1044.2,13.6,14.3,31.0,29.0,26.0,25.0,24.0,1.4,1.4,0.8,1.3,0.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,60.0,0.0,3.0,3.0
210813,1016.1,978.5,970.0,931.3,954.8,928.7,911.7,949.7,1061.1,1146.5,1168.4,1220.7,1213.6,1261.3,1289.1999999999998,1282.2,1248.3,1232.2,1136.4,1104.3,1085.2,1046.6,1072.0,1028.0,13.6,11.44,28.0,27.0,24.0,22.0,21.0,2.0,1.1,1.1,1.6,1.2,4.0,4.0,3.0,1.0,1.0,30.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0
210816,959.1,955.3,954.0,960.1,923.6,916.1,886.0,925.1,934.9,998.4,1020.0,1054.1,1045.7,1046.7,1105.9,1104.6,1091.6,1095.0,1074.3,1067.2,1032.6,1046.8,1041.0,1016.4,13.5,4.29,31.0,28.0,24.0,22.0,21.0,2.4,1.3,1.1,1.3,1.3,4.0,4.0,4.0,3.0,3.0,60.0,30.0,30.0,20.0,20.0,0.0,0.0,0.0
210817,1001.4,974.6,968.2,925.2,904.3,910.6,896.6999999999999,911.3,1039.0,1214.0,1256.2,1250.1,1239.2,1299.1999999999998,1312.3000000000002,1355.7,1348.1,1354.2,1273.3,1175.9,1129.7,1118.9,1065.0,1066.7,13.4,24.47,28.0,25.0,23.0,22.0,21.0,2.1,1.7,0.9,0.4,0.7,3.0,4.0,3.0,3.0,4.0,60.0,60.0,60.0,20.0,30.0,0.0,0.0,0.0
