,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,load_flag
210116,845.9,824.4,835.7,829.7,843.1,823.5,866.0,839.6,864.2,919.8,899.7,811.0,848.4,915.4,898.9,957.2,956.7,965.9,984.5,952.1,990.0,981.7,967.7,962.4,1
210117,938.9,919.7,964.9,917.1,884.8,889.9,894.0,928.4,970.2,891.6,858.9,815.1,847.9,850.2,918.1,873.6,906.9,993.8,1052.7,1005.2,1030.8,981.3,975.4,985.2,1
210118,937.7,917.5,931.1,925.5,920.7,927.3,910.1,932.0,1031.9,1020.5,1005.5,993.0,973.0,951.7,973.9,952.4,967.5,1021.2,1053.8,1014.3,1058.1,1011.4,1001.7,1003.1,0
210119,935.0,914.5,897.2,932.0,956.3,946.1,925.8,932.0,1060.9,1130.0,1138.8,1105.6,1067.6,1056.5,1024.3,1029.4,1023.8,1044.9,1034.0,992.2,1057.5,1029.6,1007.3,1007.8,0
210120,959.1,949.1,928.9,967.7,1002.9,921.4,948.7,977.3,1022.8,1094.1,1098.0,1039.0,997.5,952.5,953.1,926.6,941.1,989.1,1004.6,946.7,928.9,916.3,923.3,923.8,0
210121,872.0,864.1,841.8,828.1,809.4,855.7,846.9,844.8,940.7,1012.3,989.5,971.9,963.9,964.3,971.3,962.3,954.8,963.7,938.8,886.3,873.1,873.2,849.2,797.6,0
210122,838.6,802.5,764.1,769.8,787.8,760.4,770.8,786.6,855.8,912.7,911.3,897.8,922.5,907.4,920.1,941.2,937.6,917.9,901.6,861.7,859.3,826.1,814.0,805.8,0
210123,769.8,779.4,788.6,734.6,716.7,765.4,730.3,725.9,715.3,740.7,768.8,757.2,720.1,748.7,764.1,793.3,787.5,780.3,775.8,782.4,769.9,765.8,784.9,753.2,1
210124,772.3,752.3,743.4,726.1,724.4,739.8,719.3,746.0,761.8,724.2,710.3,686.7,683.3,715.6,722.8,726.2,746.5,766.5,805.2,813.4,799.8,796.0,793.3,796.8,1
210125,795.3,801.9,741.1,740.6,760.8,777.9,774.5,803.4,887.8,930.0,939.9,911.0,848.4,826.4,828.3,831.9,831.5,832.3,801.8,788.0,782.6,831.8,808.5,819.0,0
