,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,forcast_horizon
210429,658.3,642.8,616.3,609.8,617.3,605.7,632.9,610,654.7,774.4,813.3,818.5,791.9,827.7,852.5,847.8,846.6,858.3,794.4,739.6,745.3,748.9,693.2,673.6,1
210503,614.5,603.7,558,650.1,572.9,584,560.6,602.7,675.4,786.7,795.2,814.4,802.7,856.9,873.9,862.5,855.7,820.9,770.9,714.3,742.7,681.6,685.9,667.2,4
210504,670.5,654.2,629.7,612.8,617.8,646.2,623.4,669.9,747.2,819.2,826.6,869.7,892.9,863.3,887.3,862.5,858.6,850.1,831.2,755.5,762.7,720.9,692.3,689.7,1
210506,651.3,590.9,584.8,578.2,560.2,570.2,584.9,607.8,663,735.2,808.6,819.8,864.5,877.2,893.8,844.2,847.5,818.4,773.5,726.8,725.2,709.1,696.4,685.6,2
210507,679.7,649.9,634.9,626.4,653.2,615.7,639.4,657,683.7,795.1,818.4,762.7,800.5,821.2,817.3,787.3,782.5,759.2,718.8,713.3,719.4,679.7,688.7,667.5,1
210510,633,640.4,655.1,610.9,599.8,600.8,593.1,619.4,740,773.6,772.6,783.7,796.4,883.3,834.5,850.7,845.6,831.8,790.2,747.3,746.8,748.8,720.9,708.4,3
210511,707.5,682.7,672.3,641.2,633.3,656,626.9,666.4,748.5,799.5,873.4,894.5,855.2,930.5,920.2,945.5,887.5,867.7,853.4,800.8,814.2,807.5,795.1,742.9,1
210512,727.3,737.2,737.1,701.7,663.9,649.6,666.7,675.1,738.4,812.4,905.2,912.1,914,978.6,1004.9,1043.2,998.6,1008.2,939.5,917.5,869.9,888.6,863.4,799.5,1
210513,795.3,786.1,759.9,715.1,714.4,691,690.2,734.4,786.4,892.7,938.6,995.8,998.4,1072.3,1031.5,1160.4,1127.9,1062,984.1,891.6,871.2,873.6,831.9,819.4,1
210514,787.4,772.5,748.1,713.6,709.4,709.4,717,756.5,842.4,941.9,1032,1060,1036.9,1062.5,1082.2,1082.5,1011.1,942.2,871.2,757.9,741.7,711.5,670,649.4,1
210517,588.2,570.5,563,549.8,537.7,537.3,548.8,539.6,621.8,745.9,824.3,837.8,834.1,846.2,862.2,870.4,892.3,885,834.4,827.1,777.8,781.6,752.5,739.5,3
210518,723.5,674.3,669,637.3,642.1,636.4,660.1,639.3,695.5,798.3,847.2,894.8,855.8,946.5,939,944.2,959.1,920.7,891.4,775.2,751.3,765.3,746,727.3,1
210519,724.4,684.6,691.7,671.8,658.4,637,650.3,630.2,682.5,704.3,764.1,758.6,798.2,835.1,866.5,846.6,837.8,822.3,807.2,777.5,767.6,784.3,744.8,750,1
210520,718,708.1,712.1,710.6,659.7,684.6,673.7,698,717.6,798.6,817.3,817.9,817.3,845.3,857.6,891.2,899.8,855.8,821.7,785.4,762.4,760.4,778.5,720.2,1
210521,707.4,668.3,660.9,656.7,621.7,639.3,660.7,638.6,680.5,766.7,825.9,805.8,845.7,849.9,906.1,898.8,914.1,868.2,826.3,772.1,745.5,730.5,725.4,687.1,1
210524,740.9,700.1,684.2,671.5,682.3,654,683.2,674.2,742.7,850.2,910.5,933.7,938.1,934.8,1042.1,1039.2,1006.8,941.8,867.3,824.7,834.9,816.2,789.4,773.3,3
210525,760.9,775.2,712.8,684.5,665.5,662.8,671.9,655.3,748.4,812.8,873.3,897.9,889.1,938.4,964.2,958.8,937.8,929.4,885.6,823.9,784.2,802.7,787.3,773.6,1
210526,731.1,708.8,682.2,664,653,658.1,661.6,669.6,756.7,821.6,903.6,913.1,936.5,921.7,964.8,942.6,972.6,899.3,886.7,816.8,811.1,801,781.9,782.1,1
210527,733.1,718.2,711.9,691.1,689.8,672.1,696.4,695.2,748.7,805.4,854.4,847.9,867.3,921.8,948.6,955.1,939.2,933.6,919.4,835.6,814.8,811.1,807.3,767.1,1
210528,729.6,707.4,693.5,688.1,670,652.2,636.9,684.3,784.1,855.5,922.4,910.3,876.8,881.4,954.6,982.3,929.4,903.9,827.4,760.1,731,739.1,702.5,708.5,1
210601,823.9,793.9,787.2,780.8,727.2,737.9,723.8,777.8,890.2,933.3,989.1,1003.2,1049.3,1064.8,1079.8,1051.5,1077.3,1064.2,985.8,916,893.1,886.1,878.1,858.6,4
210602,829.1,773.5,762.3,761,746.4,735.7,747.5,756.1,866,971.4,1012.2,1027.3,1057.9,1070.7,1069,1106.9,1077.8,1056.6,977.9,916.8,939.1,885.6,880.9,846.5,1
210603,834.4,810.5,790.1,790.3,754,759.9,791.4,806.5,811.4,957.6,972.9,974.1,970.9,1011,1025.3,1030,1040.8,1014,972,920.6,939.2,890.2,874,867.7,1
210604,823.8,797,788.9,772.2,739.4,757.2,728.4,770.7,842.8,927.6,941.8,1001,981.7,1047.9,1046.9,1048.6,1030,985.1,942.2,844.3,854.1,850.1,794.7,784.9,1
